page,review_index,nama,negara,tipe_traveler,tipe_kamar,durasi_menginap,rating,rating_text,judul_ulasan,teks_ulasan,tanggal
131,655,JAMES,Indonesia,Family with young children,Superior Room King,Stayed 1 night in June 2017,8.8,Excellent,Santika Bandung Nyaman,"Walau hanya menghabiskan dua hari dan satu malam di Santika Bandung, saya mendapat pengalaman yang memuaskan. Konsep desain bangunan yang terbuka membuat angin sejuk berhembus dari lobby, restoran sampai lorong-lorong depan kamar. Berjalan-jalan di dalam dan sekitran lobby saat siang atau malam begitu sejuk. Banyak sekali tempat nongkrong, jajanan sampai restaurant di sekitar lokasi hotel. Restoran nyaman dengan begitu banyak pilihan untuk sarapan. Harga room service pun tidak terlalu mengila. Kolam renang bersih, jernih, besar dan dalam. Ada petugas di area kolam renang. Kamar Deluxe King bersih, walau terasa tua. Untuk keluarga, rekomendasi tinggi!","June 19, 2017"
132,656,fedrika,Indonesia,Family with teens,Superior Room King,Stayed 1 night in February 2017,4.4,,Old Hotel,Kamar tidak kedap suara. Jam 3 pagi kami sulit tidur karena suara kegaduhan di kamar tetangga yang ditinggali lebih dari 3 orang terdengar hingga ke kamar kami. Suara orang berjalan dan bunyi bel saja terdengar dengan jelas. Benar benar tidak nyaman.,"February 13, 2017"
132,657,tohrengga,Indonesia,Family with teens,Superior Room King,Stayed 1 night in February 2017,10.0,Exceptional,Hotel nyaman harga terjangkau,"Saya beserta anak dan saudara check in utk 2 kamar delux king. Hotelnya bersih, check in nya mudah, pelayanannya ramah, selain itu kmr tdr dan kamar mandinya bersih....strategis dan dekat kemana2...","February 07, 2017"
132,658,Indah,Indonesia,Family with young children,Superior Room King,Stayed 2 nights in January 2017,8.4,Excellent,liburan yang menyenangkan,"Suasana hotel yg menyenangkan. Lokasinya juga dekat dari mall,FO,tempat makan.","January 11, 2017"
132,659,Wilson,Indonesia,Group,Superior Room Twin,Stayed 3 nights in December 2016,9.2,Exceptional,dekat kemana mana,Pelayanan sangat baik,"December 27, 2016"
132,660,Farid,Indonesia,Family with teens,Superior Room Twin,Stayed 2 nights in May 2016,6.0,,bagus,bagus,"November 26, 2016"
133,661,Farid,Indonesia,Family with teens,Superior Room Twin,Stayed 2 nights in May 2016,6.0,,bagus,bagus,"November 26, 2016"
133,662,dessy,Indonesia,Family with young children,Superior Room Twin,Stayed 1 night in July 2016,6.8,Good,Lokasi dekat kemana mana,Hotel ini menyenangkan dekat kemana2 sarapan jg bervariasi...,"August 03, 2016"
133,663,lany,Indonesia,Family with young children,,Stayed 2 nights in July 2016,7.2,Very good,Lokasi hotel dekat dengan tempat makan...,Nyaman serta dekat dengan tempat makan...,"July 12, 2016"
133,664,rahmatsyah,Indonesia,Family with young children,Superior Room Twin,Stayed 2 nights in July 2016,7.6,Very good,Dekat ke mana mana,Lokasinya strategis dan breakfast nya enak sekali,"July 11, 2016"
133,665,Edi,Indonesia,Family with teens,Deluxe Room King,Stayed 1 night in July 2016,8.4,Excellent,Hotel yang bagus,Lokasi yang strategis,"July 10, 2016"
134,666,Ririn,Indonesia,Family with young children,Superior Room King,Stayed 1 night in June 2016,10.0,Exceptional,hotel sdg renovasi,Kami menginap pas kondisi htl lg renovasi jd agak terganggu. Kolam renang tdk ada staf penjaganya. Tp kami suka bs cek inn lbh awal,"July 03, 2016"
134,667,Efrizal,Indonesia,Family with young children,,Stayed 2 nights in May 2016,8.4,Excellent,Tempat sangat strategis,"Lokasi di Kota dan dekat dengan BIP ( Bandung Indah Plaza ),","May 09, 2016"
134,668,Andy,Indonesia,Couple,,Stayed 2 nights in March 2016,7.2,Very good,Keren,Kami sekeluarga puas menginap di santika hotel bandung,"March 27, 2016"
134,669,abdul,Indonesia,Family with young children,,Stayed 1 night in February 2016,9.6,Exceptional,"Lokasi Bagus, Staff Ramah","Lokasi hotel sangat strategis, dekat kemana-mana...Staff hotel sangat membantu, check in seharusnya jam 14.00 tapi karena kami membawa anak bayi 6 bulan, staff hotel mempercepat waktu check in kami sehingga bayi kami dapat segera beristirahat di kamar....saya sangat mengapresiasi pelayanan dan inisiatif staff hotel Santika Bandung...Sukses buat Hotel Santika Bandung","February 23, 2016"
134,670,Dwiana,Indonesia,Family with young children,,Stayed 1 night in January 2016,6.8,Good,lokasi hebat,Lokasi hotel tepat di tengah kota sehingga mudah kemana-mana. Gampang cari makan.,"February 04, 2016"
135,671,Didik,Indonesia,Family with young children,,Stayed 2 nights in January 2016,7.2,Very good,"Hotel yang bagus, dengan lokasi Yg strategis","Hotel Dekat dengan Pasat perbelanjaan, tempat makan.. Mobil di parkiran di cuci dengan gratis. Variasi makanan harus di tambah.","January 29, 2016"
135,672,Michael,Indonesia,Family with teens,,Stayed 2 nights in December 2015,9.3,Exceptional,hotel strategis di pusat kota Bandung,Sangat menyenangkan,"January 23, 2016"
135,673,christina,Indonesia,Family with young children,,Stayed 1 night in December 2015,6.7,Good,Standart utk semuanya,Melalui travel agen agoda,"January 02, 2016"
135,674,Iriany,Indonesia,Business traveler,,Stayed 1 night in October 2015,7.0,Very good,Hotel lama dan sudah mulai rusak,Pintu kamar mandi sudah keropos dan harus mulai di renovasi kembali karena hotel Santika yang baru sudah bagus. Hanya lokasi yang dekat dengan pusat perbelanjaan dan dekat dengan ITB karena kami ada acara di univ tersebut.,"December 25, 2015"
135,675,MUH,Indonesia,Solo traveler,,Stayed 2 nights in November 2015,8.0,Excellent,Saya Happy di Hotel Santika Bandung,Lain kali saya akan nginap sebagai wisatawan piknik supaya saya bisa menikmati kenyamanan dan fasilitas hotel dan akan saya beri tau teman2 untuk menyarankan nginap dihotel santika kalau mereka liburan kebandung.,"December 16, 2015"
136,676,patria,Indonesia,Family with young children,,Stayed 1 night in November 2015,6.3,Good,banyak nyamuk..ac tdk temp.control..butuh renovasi,Tinggal di kamar 118 dgn ac yg tdk dpt di control dan bertemperatur rendah jd semalaman kami kedinginan dan jika ac nya dimatikan nyamuk nya yg banyak sekali malah menyerang..membuat kami tidur kurang nyenyak semalaman..selebihnya semua cukup nyaman.,"November 18, 2015"
136,677,yofither,Indonesia,Family with young children,,Stayed 1 night in October 2015,10.0,Exceptional,hotelnya dekat dengan tempat perbelanjaan,tidak ada masalah,"November 13, 2015"
136,678,RR,Indonesia,Business traveler,,Stayed 1 night in November 2015,10.0,Exceptional,"Hotel Bintang 3, service Hotel Bintang 5",Booking via Online,"November 11, 2015"
136,679,Ika,Indonesia,Family with young children,,Stayed 1 night in October 2015,8.0,Excellent,Hotel di tengah pusat perbelanjaan Bandung,"Saya sempat kecewa dengan proses check in yang lumayan lama (sekitar 30 menit), dan bagian resepsionis kurang ramah. Namun selebihnya saya puas menginap di Hotel Santika. Karena banyak pusat perbelanjaan di sekitarnya, arsitektur hotel yang unik, karena banyak mendapatkan udara segar karena disain hotel yang terbuka dan cukup tanamannya. Menu breakfast cukup bervariasi buat saya, dan rasanya juga enak.","November 02, 2015"
136,680,ahtin,Indonesia,Family with young children,,Stayed 1 night in October 2015,4.7,,Hotel tua perlu renovasi,Kurang puas krn hotel terlalu tua.,"October 22, 2015"
137,681,Sucidha,Indonesia,Family with young children,,Stayed 3 nights in October 2015,9.7,Exceptional,hotel yang sangat nyaman,"hotel yang tepat untuk kenyamanan berlibur, lokasi strategis untuk berbelanja dan mencari makanan, serta stafnya ramah","October 19, 2015"
137,682,IRMANSAH,Indonesia,Business traveler,,Stayed 1 night in October 2015,7.0,Very good,Hotel Tua Bersih Di Pusat FO Kota Bandung,Hotel Tua yang Saudah Butuh renovasi. Tapi Kondisi Cukup bersih dan Nyaman. Lokasi di pusat FO Kota Bandung. Tinggal Jalan Saja. Dekat ke Airport dan Stasiun Kereta. Makanan Lumayan Enak.,"October 15, 2015"
137,683,Harry,Indonesia,Family with teens,,Stayed 1 night in September 2015,4.7,,Penilaian Kondisi hotel,Melalui Agoda,"September 28, 2015"
137,685,EDWIN,Indonesia,Couple,,Stayed 2 nights in August 2015,5.3,,Agak berisik,Suara berisik dari luar dan kamar mandi ada bau,"September 26, 2015"
138,686,Aes,Indonesia,Business traveler,,Stayed 1 night in July 2015,6.7,Good,Hotel tua dan terlalu mahal,"pertama kali booking menggunakan agoda saya kira akan mendapat hotel yang oke, namun setelah melihat kamar ternyata tidak sesuai harapan. Kamar bau apek, terkesan tua dan tidak modern, kurang pemeliharaan.","September 03, 2015"
138,687,henry,Indonesia,Business traveler,,Stayed 1 night in August 2015,7.3,Very good,lokasi hotel yg strategis,"hotel cukup bagus utk kelas bintang tiga, tetapi fasilitas shower di bathtub yg kurang bagus. posisi shower yg terlalu vertikal. lantai kamar mandi menjadi basah.","August 24, 2015"
138,688,Eko,Indonesia,Family with teens,,Stayed 1 night in July 2015,8.7,Excellent,Hotel bintang tiga yang nyaman,"Mobil dicucikan gratis ketika parkir inap di parkiran hotel santika, breakfast juga enak. Lokasi hotel ini dekat dengan dua mall sehingga kalau mau cari makan atau butuh belanja mudah. Hotel ini menurut saya sudah memenuhi standar bintang tiga","July 24, 2015"
138,690,Rima,Indonesia,Family with young children,,Stayed 1 night in July 2015,8.7,Excellent,Hotel yang dekat pusat kot,"Hotel uang dekat engan pusat kota. Kamar nyaman, kebersihan terjaga, staff hotel ramah","July 20, 2015"
139,691,hanny,Indonesia,Family with young children,,Stayed 1 night in July 2015,7.7,Very good,hotel yang strategis dan refresentatif,Menyenangkan,"July 14, 2015"
139,692,Sigit,Indonesia,Family with young children,,Stayed 1 night in June 2015,8.7,Excellent,hotel bersih.....mobil di tempat parkir dicuci,Menarik,"June 22, 2015"
139,693,yosep,Indonesia,Family with young children,,Stayed 1 night in December 2014,7.7,Very good,HANYA PERLU RENOVASI,Hanya perlu renovasu dimodernisasi,"June 20, 2015"
139,695,Husen,Indonesia,Family with teens,,Stayed 5 nights in June 2015,7.7,Very good,Lokasi Hotel Santika sangat Strategis,Cukup memuaskan,"June 18, 2015"
140,696,endang,Indonesia,Business traveler,,Stayed 2 nights in May 2015,9.3,Exceptional,Sangat bagus termasuk lokasi yang strategis,Sangat puas dengan pelayanan yang diberikan oleh staf hotel,"May 23, 2015"
140,697,Rohman,Indonesia,Family with teens,,Stayed 2 nights in May 2015,8.3,Excellent,belum ada hal yang istimewa,Ada rasa kecewa karena kamar mandinya shower yang tidak pas penempatannya dan closet yang tidak bisa di flush harus berulang ulang,"May 17, 2015"
140,698,Anto,Indonesia,Family with young children,,Stayed 1 night in January 2015,10.0,Exceptional,Hotel Pusat Kota Yg Dekat Kemana Mana,Menyenangkan karena hotel dekat dgn pusat belanja & pusat outlet di Bandung,"March 12, 2015"
140,699,Dewi,Indonesia,Family with young children,,Stayed 2 nights in August 2014,8.0,Excellent,Hotel multi fasilitas,"Menyenangkan, anak-anak bisa berenang, belanja dan kuliner di sekitar hotel","February 05, 2015"
140,700,Rudy,Indonesia,Business traveler,,Stayed 1 night in January 2015,8.0,Excellent,"Hotel letak strategis, breakfast oke, kamar bersih",Menyenangkan dan sudah 2 kali menginap di hotel Santika.,"January 16, 2015"
141,701,Armeida,Indonesia,Couple,,Stayed 4 nights in January 2015,8.0,Excellent,Lokasi,"Hotelnya bagus, bersih, staffnya ramah, makan pagi yang beraneka macam.","January 15, 2015"
141,702,Armeida,Indonesia,Couple,,Stayed 1 night in January 2015,8.0,Excellent,lokasi ditengah kota,"Kamar tidur besar, makan pagi bermacam- macam pilihan, lokasi dekat Mall Bandung Indah Plaza, diseberang hotel ada Riau Junction. Dekat dengan Outlet2.","January 15, 2015"
141,703,BERMAN,Indonesia,Family with young children,,Stayed 3 nights in December 2014,8.7,Excellent,Hotel yg nyaman dan makanannya enak,"Acara liburan terasa menyenangkan karena lokasi hotel dekat kemana2, parkiran selalu tersedia,sarapan pagi yang enak dan ditemani musik khas Sunda, overall ""OK BANGET""","January 14, 2015"
141,704,Agatarini,Indonesia,Family with young children,,Stayed 2 nights in December 2014,7.3,Very good,Hotel Nyaman Dengan Lokasi yang Strategis,Melalui Agoda,"December 29, 2014"
141,705,Catherina,Indonesia,Family with young children,,Stayed 2 nights in December 2014,7.0,Very good,"hotel yang ramah, lokasi strategis....",browsing on line,"December 29, 2014"
142,706,Driana,Indonesia,Family with young children,,Stayed 1 night in December 2014,6.0,,Lokasi Strategis,"Lokasi strategis, sehingga mudah akses ke Gasibu, Gedung sate, Dago dan Jalan Merdeka","December 26, 2014"
142,707,Tara,Indonesia,Couple,,Stayed 1 night in November 2014,7.7,Very good,lokasi bagus,"kamar cukup nyaman, lokasi juga strategis. ada kolam renang. tapi kamar mandi kelihatannya masih kuno","December 18, 2014"
142,708,Jaya,Indonesia,Family with young children,,Stayed 1 night in December 2014,8.0,Excellent,Hotel yang menyenangkan.,Pelayanan yg baik. Kami membawa 2 anak kecil pada saat breakfast dan pihak tidak memungut biaya tambahan. Kolam renang semi indoor cukup menyenangkan disaat panas terik.,"December 08, 2014"
142,710,Arie,Indonesia,Business traveler,,Stayed 3 nights in November 2014,8.0,Excellent,Hotel di tengah kota bandung,"Hotel yang letaknya strategis di tengah kota bandung dan mudah dijangkau dengan kendaraan umum, dekat dengan pusat perbelanjaan kota bandung","November 28, 2014"
143,712,tamara,Indonesia,Family with young children,,Stayed 1 night in October 2014,9.0,Exceptional,"santika hotel bandung, we'll be back","sangat menyenangkan krn dekat ke-mana2, mudah mencari tempat makan dan shopping","October 27, 2014"
143,713,Christyana,Indonesia,Couple,,Stayed 1 night in October 2014,8.7,Excellent,pendapat ttg htl Santika bagus,Pwsan lewat agen ato cari di internet,"October 24, 2014"
143,714,viasido,Indonesia,Family with young children,,Stayed 2 nights in October 2014,9.7,Exceptional,lokasi dan suasana yg oke,Sangat memuaskan,"October 15, 2014"
