page,review_index,nama,negara,tipe_traveler,tipe_kamar,durasi_menginap,rating,rating_text,judul_ulasan,teks_ulasan,tanggal
126,1258,Novita,Indonesia,Solo traveler,Superior Room Queen,Stayed 1 night in May 2025,10,Exceptional,Terbaikk,"Hotel yang sangat nyaman, berada ditengah kota, dibawahnya ada mall, kalau mau jogging tinggal nyebrang ke kebun raya Bogor. Kamarnya sangat luas, bersih, rapih. Pokoknya the bestt😍",29-Sep-25
126,1259,Mohammad,Singapore,Couple,Executive Room,Stayed 7 nights in April 2026,10,Exceptional,Staycation,Nothing to say. Everything is superb. Been staying here for so many times the standard and cleaniness is superb. Location is good and connected to the mall.,20-Apr-26
126,1260,Abdika,Indonesia,Couple,Superior Room Queen,Stayed 1 night in April 2025,8.8,Excellent,Good and comfy stay,"Rating: 4/5 The room was a bit old but overall okay—clean and well-maintained. The bathroom, especially the shower, worked just fine. Food was decent, nothing special but acceptable. What really stood out was the service. All the staff were kind, warm, and very helpful throughout our stay. One unique perk was the exclusive access to Botani Square, which was a nice touch. The only downside was the lobby. It felt quite small and didn't give off an exclusive or premium vibe, which could be improved. Overall, a comfortable stay with great service!",17-Apr-25
127,1261,Oktira,Indonesia,Family with young children,,Stayed 1 night in November 2011,6.7,Good,Comfort Hotel with minimalis Room,"Mostly we stay in our room and enjoy the facilities (including free wifi :)Should you want to stay in a comfort quite simple room, this room is suitable for that purpose.",7-Dec-11
127,1262,Vijendran,Singapore,Solo traveler,,Stayed 2 nights in October 2011,8,Excellent,Decent Hotel,"the hotel is next to the botanical garden which is the main attraction at bogor. i was given a room on the 3rd floor which suprising came without a fridge. on the whole, it was a decent place to put up at. breakfast had several local delights",26-Oct-11
127,1263,Albert,Netherlands,Couple,,Stayed 4 nights in September 2011,8.3,Excellent,good modern hotel with excellent service,"Excellent service. They even bring your trunks to the busterminal for Bandung, which is on 10 minutes distance. Breakfast included allthough Agode sad ""not incl."". Cup of coffee=european prices (Euro 2,50) Great choice. Swimming pool on third floor. New shopping mall in the same building. Not only luxery things but everything. Some simple but good restaurants, for two persons less than Rps 100.000.",18-Sep-11
127,1264,Michael,Australia,Solo traveler,,Stayed 1 night in September 2011,8.7,Excellent,Greta Location and fabulous service,A great surpise was the room quality. Quality exceeds to cost of the room.,14-Sep-11
127,1265,Stephanus,Indonesia,Family with young children,,Stayed 1 night in August 2011,8.3,Excellent,Nice Hotel,"this hotel is good,the service is good the thing that i'm very disappointed is the price at agoda is higher than direct buy to the hotel i trusted agoda, but with this experience make me thing twice to order from this site thank you",13-Sep-11
127,1266,Yullia,Indonesia,Couple,Superior Room Queen,Stayed 1 night in April 2026,9.6,Exceptional,Sabtu ceria,"Over all bagus, makanan enak, lokasi sangat strategis. Tolong sediakan hair dryer di kamar biar tambah baik kualitas hotelnya",16-Apr-26
127,1267,Latifah,Indonesia,Family with teens,Deluxe Room Queen,Stayed 1 night in February 2026,10,Exceptional,Rekomendasi staycation yang nyaman,"Kamar bersih dan terawat, staff yang ramah, akses ke mall lebih mudah, menu breakfast yang bervariasi dan enak enak, 🫶🏼",17-Feb-26
127,1268,Novita,Indonesia,Solo traveler,Superior Room Queen,Stayed 1 night in May 2025,10,Exceptional,Terbaikk,"Hotel yang sangat nyaman, berada ditengah kota, dibawahnya ada mall, kalau mau jogging tinggal nyebrang ke kebun raya Bogor. Kamarnya sangat luas, bersih, rapih. Pokoknya the bestt😍",29-Sep-25
127,1269,Mohammad,Singapore,Couple,Executive Room,Stayed 7 nights in April 2026,10,Exceptional,Staycation,Nothing to say. Everything is superb. Been staying here for so many times the standard and cleaniness is superb. Location is good and connected to the mall.,20-Apr-26
127,1270,Abdika,Indonesia,Couple,Superior Room Queen,Stayed 1 night in April 2025,8.8,Excellent,Good and comfy stay,"Rating: 4/5 The room was a bit old but overall okay—clean and well-maintained. The bathroom, especially the shower, worked just fine. Food was decent, nothing special but acceptable. What really stood out was the service. All the staff were kind, warm, and very helpful throughout our stay. One unique perk was the exclusive access to Botani Square, which was a nice touch. The only downside was the lobby. It felt quite small and didn't give off an exclusive or premium vibe, which could be improved. Overall, a comfortable stay with great service!",17-Apr-25
128,1271,Daniel,Singapore,Solo traveler,,Stayed 3 nights in August 2011,10,Exceptional,very convient with shopping mall next door,"very impress with the space in the room and also the facilities, like spa , swimming pool despite it's smallness in size. the service staff was quick in replenishing the tissue box when called. also the many channels available on the cable tv is a plus. the accessible to the shopping mall is either through the basement carpark and just a quick 1 minute walk from the front entrance of the hotel.",22-Aug-11
128,1272,Nursatrio,Indonesia,Family with young children,,Stayed 1 night in June 2011,7.3,Very good,Good location,"located on the center bogor area and has a direct access to the mall. Breakfast was nice, but a bit expensive.",7-Jun-11
128,1273,Tesya,Indonesia,Family with teens,,Stayed 1 night in May 2011,7.7,Very good,Excellent hotel,"This brand new hotel has fabulous location. It is attached to the Bogor Botanical Square mall, and in a walking distance to Bogor Botanical Garden. We love the room and the pool. The breakfast is just so so. The price is too expensive though, I wouldn't stay here if Agoda didn't offer a promo rate of this hotel. My complaint to this hotel is regarding the lift. There was a wedding on the day we checked out, so we had to wait 15 minutes to get the lift going downstair.",4-Jun-11
128,1274,Michael,Australia,Couple,,Stayed 2 nights in May 2011,8.3,Excellent,A very nice hotel and centrally located,A very well appointed hotel centrally located in Bogor.,2-Jun-11
128,1275,Mohd,Malaysia,Couple,,Stayed 1 night in March 2011,8,Excellent,Nice hotel near shopping mall,Room is reasonably clean and comfortable. Close to shopping area.,5-May-11
128,1276,Yullia,Indonesia,Couple,Superior Room Queen,Stayed 1 night in April 2026,9.6,Exceptional,Sabtu ceria,"Over all bagus, makanan enak, lokasi sangat strategis. Tolong sediakan hair dryer di kamar biar tambah baik kualitas hotelnya",16-Apr-26
128,1277,Latifah,Indonesia,Family with teens,Deluxe Room Queen,Stayed 1 night in February 2026,10,Exceptional,Rekomendasi staycation yang nyaman,"Kamar bersih dan terawat, staff yang ramah, akses ke mall lebih mudah, menu breakfast yang bervariasi dan enak enak, 🫶🏼",17-Feb-26
128,1278,Novita,Indonesia,Solo traveler,Superior Room Queen,Stayed 1 night in May 2025,10,Exceptional,Terbaikk,"Hotel yang sangat nyaman, berada ditengah kota, dibawahnya ada mall, kalau mau jogging tinggal nyebrang ke kebun raya Bogor. Kamarnya sangat luas, bersih, rapih. Pokoknya the bestt😍",29-Sep-25
128,1279,Mohammad,Singapore,Couple,Executive Room,Stayed 7 nights in April 2026,10,Exceptional,Staycation,Nothing to say. Everything is superb. Been staying here for so many times the standard and cleaniness is superb. Location is good and connected to the mall.,20-Apr-26
128,1280,Abdika,Indonesia,Couple,Superior Room Queen,Stayed 1 night in April 2025,8.8,Excellent,Good and comfy stay,"Rating: 4/5 The room was a bit old but overall okay—clean and well-maintained. The bathroom, especially the shower, worked just fine. Food was decent, nothing special but acceptable. What really stood out was the service. All the staff were kind, warm, and very helpful throughout our stay. One unique perk was the exclusive access to Botani Square, which was a nice touch. The only downside was the lobby. It felt quite small and didn't give off an exclusive or premium vibe, which could be improved. Overall, a comfortable stay with great service!",17-Apr-25
129,1281,Roger,United Kingdom,Solo traveler,,Stayed 2 nights in April 2011,9.7,Exceptional,"Very good hotel, next to bus station for airport","modern, clean hotel right next to botani square mall and damri bus station for transport to jakarta airport. very nice room, everything in working order. friendly, helpful staff at reception and in coffee shop.",15-Apr-11
129,1282,Rikky,Indonesia,Couple,,Stayed 1 night in April 2011,8.3,Excellent,"Nice, simple and clean Hotel","i like the room interior,they think about how to make the room wider, by putting a rotary desk. the pool was so exclusive, and the staff are nice.",14-Apr-11
129,1283,Francis,Australia,Business traveler,,Stayed 3 nights in March 2011,8,Excellent,Santika Bogor Mar 11,"this is a perfectly located business hotel in bogor - especially if you are arriving at jakarta international airport and catching the direct bus to bogor (the best way to get there) as the bus station is just a few steps from the hotel. the hotel sits withing a major shopping, eating and entertainment complex which makes staying there both convenient and enjoyable. we ate, went to the movies and shopped all on the door step of the hotel. the famous botanical gardens are virtually ""across the road"".",10-Apr-11
129,1284,Ilona,Australia,Family with young children,,Stayed 1 night in March 2011,7.7,Very good,Good location,avoid room overlooking airconditioners.,30-Mar-11
129,1285,David,Canada,Couple,,Stayed 1 night in February 2011,7.7,Very good,Good hotel with great location,"Hotel is comfortable, with OK pool (it is a bit shallow) and small but decent fitness room. Restaurant breakfast quite good - large buffet. Only one floor of hotel is non-smoking (LP suggest incorrectly the whole hotel is non-smoking) and one will find smokers throughout the rest of the hotel. (Even in the ""non-smoking"" lobby lounge.) Still, it was not too big of a problem. The best thing was hotel's location. Physically connected to a mall, almost across the street from the botanical gardens, and, conveniently located at the Damri Jakarta airport shuttle bus station. Also, a few blocks away are many interesting restaurants.",19-Feb-11
