page,review_index,nama,negara,tipe_traveler,tipe_kamar,durasi_menginap,rating,rating_text,judul_ulasan,teks_ulasan,tanggal
38,374,Ana,Indonesia,Group,Superior Twin,Stayed 1 night in August 2022,10.0,Exceptional,Enjoy bersama santika hotel,The best quality,"August 19, 2022"
38,375,Fitri,Indonesia,Family with young children,Superior Twin,Stayed 1 night in August 2022,10.0,Exceptional,Short staycation,"Santika is one of the best hotel in Cirebon, located in the centre of city, near to train station, malls, restaurants, etc. The swimming pool's probably one of the best pool i've tried in Cirebon, very clean and large. I like when i entered the room, the staff already prepared the room so the air conditioner was already on so the room's very cool and comfy.. they also wash our car, and this is beyond expectation. The breakfast menu was very completed, vary and delicious, yet the hospitality was very good. One night is never enough.","August 14, 2022"
38,376,Inne,Indonesia,Family with teens,Superior Twin,Stayed 1 night in January 2025,9.6,Exceptional,Nyamannya menginap di Santika Hotel Cirebon,"Lokasi hotel ditengah kota sangat strategis, dekat dengan pusat perbelanjaan, rumah sakit, transportasi umum, perkantoran. Kebersihannya terjaga dengan baik. Fasilitas kamar cukup lengkap : shower air panas & dingin, toiletries, mini bar, notes & pinsil. Fasilitas hotel cukup lengkap : gym, kolam renang, resto, wifi, tempat parkir luas. Keistimewaan yg berbeda dgn hotel lain, setiap pagi mobil kami sudah kinclong dibersihkan oleh staf hotel 👍🏻👏🏻 Ini kali kedua kami menginap di Santika Hotel Cirebon. Saran : varian menu makanan sarapan pagi tolong ditambah 😊 Terimakasih","January 24, 2025"
38,377,achyar,Indonesia,Family with young children,Superior Twin,Stayed 1 night in September 2025,8.8,Excellent,Excellent,"Lokasi berdekatan lokasi perkantoran kota cirebon, kamar luas dengan cukup bersih. Kolam renang bersih dengan disediakan handuk. Staf sangat ramah dan menunjukkan inisiatif untuk membantu terutama yg bertugas di kolam renang dan kebun/ taman sekitar kolam. Untuk makanan biasa saja.","September 15, 2025"
38,378,Inne,Indonesia,Business traveler,Superior Twin,Stayed 1 night in January 2025,8.8,Excellent,"Hotel dgn lokasi, fasilitas dan pelayanan memuaskan","Hotel dengan lokasi ditengah kota Cirebon dengan fasilitas lengkap dan pelayanan yg baik, staff yg ramah dan helpfull, membuat perjalanan bisnis menjadi menyenangkan. Kamarnya nyaman, toiletries cukup lengkap, menu breakfast beragam dan rasanya lezat. Terimakasih Hotel Santika Cirebon 🙏🏻","January 14, 2025"
38,379,Sahid,Indonesia,Group,Superior Twin,Stayed 1 night in October 2025,10.0,Exceptional,Exceptional,Tempat yg nyaman buat istirahat saya dn keluarga ketika ke kota Cirebon apalagi kolam renangnya luas dn bersih,"October 14, 2025"
38,380,Maemunah,Indonesia,Family with young children,Superior Twin,Stayed 2 nights in June 2025,9.6,Exceptional,Liburan Mengesankan,"Disambut dengan staf yg ramah dan pelayanan yg baik, kamarnya bersih, fasilitas lainnya lengkap (resto, kolam renang anak dan dewasa, tempat fitness)… next time bisa nginep lagi…","June 15, 2025"
39,381,Ardian,Indonesia,Family with young children,Superior Twin,Stayed 3 nights in July 2022,10.0,Exceptional,Very nice place to stay,"This is the second time we were stay here. Our fam almost have no complain from the premises and their services. Room always clean. Hot water was good. Everyday we got clean car without asking. Their coffeshop was spacious and nice. The pool could accomodate kid and adult, and also no hassle for towel request. We thought only quality of the breakfast that they must improve. We will stay in here for next trip.","August 06, 2022"
39,382,Rosna,Indonesia,Family with teens,Deluxe King,Stayed 1 night in July 2022,9.6,Exceptional,Exceptional,Good place,"August 04, 2022"
39,383,Irfan,Indonesia,Family with teens,Deluxe King,Stayed 2 nights in July 2022,9.2,Exceptional,Extra service,"We met somebody who washed visitors vehicle. Basically, that service was the extraordinary. Great service. Thank you","July 11, 2022"
