page,review_index,nama,negara,tipe_traveler,tipe_kamar,durasi_menginap,rating,rating_text,judul_ulasan,teks_ulasan,tanggal
12,56,Alisa,Indonesia,Couple,Superior Room Queen,Stayed 1 night in September 2025,10.0,Exceptional,Best in town,"Hotel dengan pelayanan paling oke di tasik,","September 10, 2025"
12,57,Deasy,Indonesia,Family with young children,Deluxe Room Queen,Stayed 2 nights in September 2025,10.0,Exceptional,Exceptional,Good hotel,"September 07, 2025"
12,58,Marsya,Indonesia,Family with young children,Superior Room Queen,Stayed 2 nights in August 2025,10.0,Exceptional,Exceptional,"Recommended banget ! Best Hotel in Tasik , thank you","August 31, 2025"
12,59,metta,Indonesia,Couple,Superior Room Twin,Stayed 1 night in July 2025,9.6,Exceptional,Good hotel,Fasilitas cukup lengkap. Kasur nyaman. Kamar luas dan bersih. Sarapan enak,"July 11, 2025"
12,60,novi,Indonesia,Couple,Superior Room Queen,Stayed 1 night in January 2025,10.0,Exceptional,Exceptional,Great,"July 08, 2025"
13,61,novi,Indonesia,Couple,Superior Room Twin,Stayed 1 night in April 2025,10.0,Exceptional,Exceptional,Great for rest,"July 08, 2025"
13,62,Kyla,Indonesia,Family with young children,Deluxe Room Twin,Stayed 1 night in June 2025,10.0,Exceptional,Exceptional,Nice place to stay and the staff very helpfull,"July 04, 2025"
13,63,Sulidar,Indonesia,Solo traveler,Superior Room Queen,Stayed 2 nights in May 2025,10.0,Exceptional,Staycation,Recomended. Checkin nya cepet dan pelayanan bagus,"June 07, 2025"
13,64,Hilda,Indonesia,Family with young children,Deluxe Room Twin,Stayed 1 night in May 2025,10.0,Exceptional,Exceptional,"Staff ramah, kamar bersih, depan hotel byk tempat makan","June 01, 2025"
13,65,Dwi,Indonesia,Couple,Superior Room Queen,Stayed 1 night in December 2024,10.0,Exceptional,Exceptional,Good,"May 11, 2025"
14,66,Nadya,Indonesia,Couple,Deluxe Room Queen,Stayed 1 night in April 2025,9.6,Exceptional,Exceptional,Good,"April 12, 2025"
14,67,Amas,Indonesia,Couple,Superior Room Queen,Stayed 2 nights in March 2025,9.6,Exceptional,Excelent,Excelent,"April 08, 2025"
14,68,Aldi,Indonesia,Couple,Superior Room Queen,Stayed 3 nights in March 2025,10.0,Exceptional,Exceptional,Mantap untuk sekeluarga,"March 31, 2025"
14,69,GATOT,Indonesia,Couple,Superior Room Twin,Stayed 1 night in February 2025,8.8,Excellent,Santika Oke,Best hotel with full facility,"February 23, 2025"
14,70,Harry,Indonesia,Family with young children,Superior Room Twin,Stayed 1 night in October 2024,10.0,Exceptional,OK,"Nice Hotel with swimming Pool, delicious food","December 12, 2024"
15,71,Taryono,Indonesia,Family with young children,Deluxe Room Queen,Stayed 1 night in April 2024,10.0,Exceptional,Good,Good,"December 05, 2024"
15,72,ALEK,Indonesia,Couple,Deluxe Room Queen,Stayed 1 night in October 2024,9.6,Exceptional,Excellent,"Excellent food, excellent service","October 07, 2024"
15,73,Ana,Indonesia,Solo traveler,Superior Room Twin,Stayed 1 night in July 2024,10.0,Exceptional,Exceptional,Best hotel in Tasikmalaya,"October 04, 2024"
15,74,STEFFANUS,Indonesia,Couple,Deluxe Room Queen,Stayed 2 nights in July 2024,10.0,Exceptional,Gokil,Bangunan dan fasilitasnya nyaman .. bersih,"July 19, 2024"
15,75,Zulkifli,Singapore,Couple,Deluxe Room Queen,Stayed 1 night in May 2024,10.0,Exceptional,Exceptional,Good,"July 11, 2024"
16,76,rachmat,Indonesia,Business traveler,Deluxe Room Queen,Stayed 2 nights in June 2024,10.0,Exceptional,Best location and services,Best location and services,"July 02, 2024"
16,77,LUIS,Indonesia,Couple,Superior Room Queen,Stayed 1 night in June 2024,10.0,Exceptional,Exceptional,Good hotel,"July 01, 2024"
16,78,Yoyok,Indonesia,Couple,Superior Room Twin,Stayed 1 night in June 2024,10.0,Exceptional,Exceptional,"great hotel, honest staff","June 24, 2024"
16,79,Artantyo,Indonesia,Family with teens,Superior Room Queen,Stayed 1 night in June 2024,9.2,Exceptional,Mantaab Betull,Mantulll & Top Markotob,"June 20, 2024"
