page,review_index,nama,negara,tipe_traveler,tipe_kamar,durasi_menginap,rating,rating_text,judul_ulasan,teks_ulasan,tanggal
28,150,pranoto,Indonesia,Wisatawan tunggal,Kamar Superior Twin,Menginap 1 malam pada Agustus 2023,"6,0",,Tidak ada toleransi untuk jam sarapan,"Saya hampir sering menginap disini tapi kecewa dengan santika baru kali ini,, Saya kebetulan beres kerja agak larut malam sehingga hari berikut nya saya bangun kesiangan sekitar pukul 10 pagi,, saya kebawag untuk sarapan tapi semua sudah dibereskan karena info nya untuk jam sarapan sudah berakhir oke..saya hanya minta satu aatau 2 potong roti untuk ganjal perutpun info nya tidak ada. Tolong kedepan nya lebih fleksibel padagal jelas saya pesen kamar include dengan sarapan..disini saya bukan tidak mampu untuk beli makanan saya punya asam lambung kronis yg mengharuskan saya makan pada jam2 tertentu.",
29,151,Ronny,Indonesia,Wisatawan bisnis,Kamar Queen Superior,Menginap 1 malam pada Agustus 2023,"10,0",Spektakuler,Business trip,"Awesome, nice place... near mall. I love this place",
29,152,Bambang,Indonesia,Keluarga dengan anak kecil,Kamar Queen Deluxe,Menginap 1 malam pada Agustus 2023,"9,2",Spektakuler,Hometown staycation,"hotel berada di atas mall yg memiliki pengalaman cukup enak. cari makanan, hiburan tinggal turun lift. fasilitas lumayan lengkap,, pool, alat fitnes yg berfungsi n layak pakai.. sarapan cukup variatif dan enak.",
29,153,Natalia,Indonesia,Wisatawan tunggal,Kamar Queen Superior,Menginap 1 malam pada Agustus 2023,"10,0",Spektakuler,Ok,Ok,
29,154,Novenda,Indonesia,Pasangan,Kamar Queen Superior,Menginap 1 malam pada Juli 2023,"10,0",Spektakuler,Spektakuler,Best,
29,155,Sentya,Indonesia,Wisatawan tunggal,Kamar Queen Deluxe,Menginap 3 malam pada Mei 2023,"10,0",Spektakuler,Nice!,Plus karena nyambung sama Mega Bekasi. Gampang cari makan dan bisa nonton ke XXI kapan aja. Cuma kl pesen gocar/grab mereka agak bingung cari lokasi hotelnya.,
30,156,Sylvia,Indonesia,Keluarga dengan anak kecil,Kamar Family,Menginap 1 malam pada Juni 2023,"6,0",,harga yang mahal ga menjamin sebuah hotel itu istimewa,"tolong diperbaiki lagi sistem check in, pada numpuk di lobby. perhatikan kebersihan kamar ( lantai kotor ) di jendela banyak debu, minim tisu. air di kamar mandi dan wastafel kotor. awalnya terima kunci 912 tiba2 diganti ke 626.",
30,157,Setioaji,Indonesia,Pasangan,Kamar Queen Superior,Menginap 2 malam pada Juni 2023,"4,8",,Mengecewakan,"Ini mungkin hotel se Bekasi yg kenakan biaya makan ke anak usia 5 tahun, yang mau bawa anak lebih baik pilih hotel ke tetangga sekitarnya aja atau hotel Santika HI sekalian biar puas. Di kamar jaringan provider lenyap, parkirpun susah.",
30,158,Arif,Indonesia,Wisatawan tunggal,Kamar Queen Superior,Menginap 1 malam pada Juni 2023,"10,0",Spektakuler,Spektakuler,"Terakhir menginap dsni bulan lalu, dan diberi quesioner, saya minta untuk dessert ditambahkan puding, dan sekarang keinginan itu terwujud, saya rasa santika bisa mengikuti dan melayani kemauan dari customer",
30,159,Ignatius,Indonesia,Pasangan,Kamar Queen Superior,Menginap 1 malam pada Desember 2022,"10,0",Spektakuler,CLEAN AND WELL MANAGED,I stayed here for so many times. Always satisfy with the cleanliness and the hospitality of the staff. The hotel is connected to shopping mall. Very easy to get various lunch and dinner or even watch movies in the integrated cinema. The area for improvement is the parking area as the dedicated parking area for hotel visitors is too small.,
30,160,Nenni,Indonesia,Keluarga dengan anak kecil,Kamar Superior Twin,Menginap 1 malam pada Agustus 2022,"10,0",Spektakuler,Bekasi,Bagus cuma dapat rate muahal,
31,161,Djoko,Indonesia,Wisatawan tunggal,Kamar Queen Superior,Menginap 1 malam pada Mei 2023,"10,0",Spektakuler,Hotel bagus,"Hotel bagus, fasilitas lengkap,lokasi strategis",
31,162,Aditia,Indonesia,Pasangan,Kamar Superior Twin,Menginap 1 malam pada Juli 2022,"10,0",Spektakuler,Spektakuler,Nice!!,
31,163,Dida,Indonesia,Wisatawan bisnis,Kamar Superior Twin,Menginap 3 malam pada Agustus 2022,"10,0",Spektakuler,Makanan,"Menu makan paginya sangat variayif, dan semuanya ensk. Hotel juga menyatu dg mall shg memudahkan kita untuk belanja",
31,164,Pralita,Indonesia,Pasangan,Kamar Queen Superior,Menginap 1 malam pada Maret 2023,"10,0",Spektakuler,Hotel Santika Bekasi recomendid hotel,"Pelayananannya sangat bagus, saran saja sebaiknya di masing² room aroma diperbaiki mungkin aroma therapy atau kalau tidak di setiap koridor diberi aroma therapy di beberapa titik. Untuk yang lain memuaskan Good luck untuk hotel Santika bekasi",
31,165,efrat,Indonesia,Pasangan,Kamar Queen Deluxe,Menginap 1 malam pada Desember 2022,"10,0",Spektakuler,Recomended,Memuaskan semua fadilitasnya,
32,166,pranoto,Indonesia,Wisatawan bisnis,Superior Double,Menginap 1 malam pada Januari 2023,"10,0",Spektakuler,Ok,Ok,
32,167,Nopita,Indonesia,Pasangan,Kamar Queen Superior,Menginap 1 malam pada Februari 2023,"8,8",Luar biasa,Ruangan Kamar,"Dapet tisunya sedikit(harusnya di cek kembali dan di refill lg sblm ada tamu lain), meja samping kasur juga kedapetan kotor syg banget, breakfast fine tapi saran lebih ditonjolkan lg soal rasanya👍🏻",
32,168,fitria,Indonesia,Pasangan,,Menginap 1 malam pada Januari 2023,"8,0",Luar biasa,dingin,Acnya dingin,
32,169,Muhammad,Indonesia,Keluarga dengan anak kecil,,Menginap 1 malam pada Januari 2023,"10,0",Spektakuler,Baik Sekali,"walaupaun ada kendala, pihak hotel sangat mengakui kesalahan dengan menyelesaikan masalah tanpa masalah dengan baik dan memuaskan anggota keluarga kami.. teruskan",
32,170,ivan,Indonesia,Wisatawan bisnis,,Menginap 1 malam pada Desember 2022,"10,0",Spektakuler,Mantap,Santika emg oke,
33,171,RINNI,Indonesia,Keluarga dengan anak dewasa,Kamar Queen Superior,Menginap 1 malam pada Juli 2022,"10,0",Spektakuler,santika mega bekasi,nyaman banget,
33,172,RINNI,Indonesia,Keluarga dengan anak dewasa,Kamar Superior Twin,Menginap 1 malam pada Desember 2022,"10,0",Spektakuler,hotel nyaman,hotelnya bersih stafnya ramah sarapan enak. nyaman deh pokoknya,
33,173,Wiro,Indonesia,Wisatawan tunggal,Kamar Superior Twin,Menginap 1 malam pada Mei 2022,"9,2",Spektakuler,Mantep,Ok,
