ID_Review,Platform,Nama_Hotel,Review_Date,Text_Review
REV-000031,Agoda,Hotel Santika Bandung,2025-10-24,"An affordable hotel in a strategic location. The room was spacious and comfortable bed. But the room and furnitures are quite oldies, aircon was not adjustable, and the towels were too thin and old. All of the staff were nice and fast-response handling the inquiry."
REV-000032,Agoda,Hotel Santika Bandung,2025-10-15,Very happy!
REV-000033,Agoda,Hotel Santika Bandung,2025-10-08,"Hotel lama yg nyaman, dan dekat dari outlet di jalan Riau dan mudah cari makanan, mantapppp"
REV-000034,Agoda,Hotel Santika Bandung,2025-10-06,Enjoy stay in city central
REV-000035,Agoda,Hotel Santika Bandung,2025-10-02,Free bfast
REV-000036,Agoda,Hotel Santika Bandung,2025-09-21,Good location
REV-000037,Agoda,Hotel Santika Bandung,2025-09-19,Good hotel to stay
REV-000038,Agoda,Hotel Santika Bandung,2025-09-18,"Pengalaman saya secara umum sangat baik di hotel ini. Baru pertama kali menginap disini itu pun karena kehabisan hotel lain di weekend dan memang dadakan baru cari di hari H. Memang gedung lama tapi lokasi sangat baik di tengah kota jadi sangat strategis kalau mau kemana2, kamar terbilang luas, feels bed pun sangat enak dan sekalipun double twin dijadikan satu tidak berasa ada lubang di tengah2. Yg paling highlight buat saya adalah breakfast karena jenis makanannya banyak dan rasanya pun enak2, plusnya lagi saya mendapat compliment breakfast untuk anak saya yg berusia 8. Compliment karena seharusnya bayar menurut staff restaurant tp waktu check in di info anak hingga usia 8 masih gratis.. Sepertinya perlu disepakati lagi dalam management. Tapi thanks anyway for the compliment."
REV-000039,Agoda,Hotel Santika Bandung,2025-09-13,good location and good service
REV-000040,Agoda,Hotel Santika Bandung,2025-09-11,"Saya pesan kamar ini untuk ayah saya saya, dan ayah saya suka dengan hotel ini"
REV-000041,Agoda,Hotel Santika Bandung,2025-09-11,"Saya pesan kamar ini untuk ayah saya, dan ayah saya menyukainya"
REV-000042,Agoda,Hotel Santika Bandung,2025-09-08,"This boutique hotel is only 100 meters from the airport train station. The service is friendly and comparable to a five-star hotel, and all staff speak fluent English. The room design is quite unique, with a tube in the bathroom facing the window. Unfortunately, the swimming pool is small. The in-room food menu is varied, delicious, and the prices are quite competitive with restaurants in Platinum Mall. Free tuktuk shuttles to the train station are available. Overall, it's a very happy stay, and I am looking forward to coming back in the future."
REV-000043,Agoda,Hotel Santika Bandung,2025-09-08,"Parkir dibasement tidak sempit muat sekitar 25-30 mobil. Sarapan ok, kacang ijo bubur sumsum selalu ada. Tradisional food. Dekat dengan bip tinggal nyebrang dan mall yogya disebrang kanannya. Saya dapat di kamar 427, kamar executive tapi ac kurang dingin. Ada ruang duduk sama tv tambahan kecil di depan tapi kurang efektif mending dikasih kasur 1 lagi"
REV-000044,Agoda,Hotel Santika Bandung,2025-09-02,"Clean old hotel, but the service was good. I enjoy my tastefully breakfast n jamu wedang sekang. I will consider this again if im around the area"
REV-000045,Agoda,Hotel Santika Bandung,2025-08-21,"The hotel is inhabited by bats. The wall of the hotel as seen on the photo excrements of bats & on the floor. The gym is👎🏾👎🏾👎🏾 the only treadmill is faulty, i nearly twisted my ankle when i used it . The step board under merchanism faulty when u step on it wobbly. No proper barbels set. To put it straight. Better close the gym & use the space for something else"
REV-000046,Agoda,Hotel Santika Bandung,2025-08-14,"This accommodation offers excellent value with a strategic location and maintained cleanliness. The staff is very friendly and helpful, making the experience even more enjoyable. The available facilities are also satisfactory, suitable for various needs. Overall, this is a highly recommended place for anyone looking for comfort and the best service while staying."
REV-000047,Agoda,Hotel Santika Bandung,2025-08-08,Overall good
REV-000048,Agoda,Hotel Santika Bandung,2025-08-03,Staying at Santika will make you comfortable with its location right in the center of the bustling city of Bandung.
REV-000049,Agoda,Hotel Santika Bandung,2025-07-29,"Kamarnya luas ,rapi Dan bersih ,kamar mandi juga bersih"
REV-000050,Agoda,Hotel Santika Bandung,2025-07-26,"It is in a very good location, across Riau Junction and near Bandung Indah Plaza with lots of eating places. The room is spacious and nice breakfast. The staff were very helpful and friendly, the best customer service. It is a hotel that I would come back every time I go to Bandung."
REV-000051,Agoda,Hotel Santika Bandung,2025-07-12,Good rate Good location
REV-000052,Agoda,Hotel Santika Bandung,2025-07-12,"Good rate, good location, friendly staff"
REV-000053,Agoda,Hotel Santika Bandung,2025-07-10,"Nyaman, bersih, fasilitas lengkap, lokasi strategis.. kalau ke bandung mau stay di hotel ini lagi"
