page,review_index,nama,tanggal,tipe_traveler,rating,teks_ulasan,sumber
24,1,FN,23 April 2025,Perjalanan Bisnis,"4,8","Salah satu hotel yang sudah cukup lama di Cirebon, lokasi di pusat kota. Suasana menginap cukup nyaman. Hanya saja waktu saya menginap, di sekitar hotel ada cafe yang musiknya cukup keras dan terdengar sampai ke kamar. Cukup mengganggu bagi tamu yang butuh suasana nyaman untuk istirahat, terlebih saya yang menginap karena ada urusan pekerjaan di besok paginya.Lihat lebih sedikit",Ulasan terverifikasi dari tiket.com
24,2,Sriyono Sriyono,16 April 2025,Perjalanan Sendirian,"5,0",Service mantap. Dianterin beli oleh2. Anterin ke stasiun,Ulasan terverifikasi dari tiket.com
24,3,RM,15 April 2025,Trip Keluarga,"3,6",Best banget si stay di hotel ini walaupun bangunan hotelnya lama tapi servise dan sarapannya mantep dehhh,Ulasan terverifikasi dari tiket.com
24,4,DAN,14 April 2025,Trip Keluarga,"4,0",Kebersihan yang sangat baik. Fasilitas terlengkap terbaik. Pemandangan kolam renang yang spektakuler.,Ulasan terverifikasi dari tiket.com
24,5,DAN,14 April 2025,Trip Keluarga,"4,0","Overall oke , tempatnya menyenangkan dan service nya sangat oke",Ulasan terverifikasi dari tiket.com
25,1,Atun Dahliatun,12 April 2025,Trip Keluarga,"5,0","Sudah 2 kali nginap di sini, BF nya oke lengkap, anak"" Seneng berenang disini, trimakasih atas layanannya",Ulasan terverifikasi dari tiket.com
25,2,OKE,10 April 2025,Trip Pasangan,"5,0",Ruang relaksasi pribadi tersedia. Kamar sangat bersih. Kamar sangat bersih.,Ulasan terverifikasi dari tiket.com
25,3,Michelle Cecilia M Mailoor,9 April 2025,Trip Keluarga,"4,0","Nginap yang tidak sengaja, tapi sungguh tidak mengecewakan. Walau bangunannya sudah cukup berumur. Tapi masih sangat nyaman untuk menikmati kamar dan fasilitas hotelnya. Apa lagi pelayanannya. Mau keluar mobil kinclong karena ada fasilitas dicuciin mobil gratisssLihat lebih sedikit",Ulasan terverifikasi dari tiket.com
25,4,Dan Nugroho,8 April 2025,Trip Keluarga,"5,0",Kamarnya bersih dan pelayanannya bagus,Ulasan terverifikasi dari tiket.com
25,5,Mamat Arohman,7 April 2025,Trip Keluarga,"5,0",Staf pengasuh anak yang dapat dipercaya. Kolam renang yang sangat bersih. Resepsionis yang kompeten.,Ulasan terverifikasi dari tiket.com
35,1,MZ,28 November 2024,Perjalanan Bisnis,"5,0",Bersih dan nyaman…pelayanan baik..letaknya strategis,Ulasan terverifikasi dari tiket.com
35,2,JP,28 November 2024,Perjalanan Bisnis,"3,0",Pelayanan baik dan ramah,Ulasan terverifikasi dari tiket.com
35,3,AP,27 November 2024,Trip Keluarga,"4,0",Suasana lingkungan indah. Penawaran super.,Ulasan terverifikasi dari tiket.com
35,4,A A,26 November 2024,Perjalanan Bisnis,"5,0",Penawaran harga sangat bagus.,Ulasan terverifikasi dari tiket.com
35,5,Video Menakjubkan Felik,25 November 2024,Trip Keluarga,"5,0",Bagus nyaman dan recomnended banget.,Ulasan terverifikasi dari tiket.com
36,1,PJ,21 November 2024,Trip Keluarga,"4,0","Nyaman, bersih, di pusat kota, dekat kemana mana",Ulasan terverifikasi dari tiket.com
36,2,KS,18 November 2024,Perjalanan Bisnis,"5,0",Kualitas layanan terbaik. Parkir sangat nyaman. Pelayanan handal.,Ulasan terverifikasi dari tiket.com
36,3,Tagor Maulana Daulay,17 November 2024,Trip Pasangan,"4,0",Makanan khas yang lezat. Kamar bersih banget. Parkir tersedia luas. Fasilias berenang yang modern.,Ulasan terverifikasi dari tiket.com
36,4,Betty Yulita,16 November 2024,Trip Keluarga,"5,0",Selalu suka di santika krn air kolam renangnya hangat dimanapun berada...ramah semua pelayanan dan sigap,Ulasan terverifikasi dari tiket.com
