page,review_index,nama,tanggal,tipe_traveler,rating,teks_ulasan,sumber
174,2,Antony Antony,5 Jan 2022,Trip Keluarga,"2,6",suara dr atas sp ke kmr.apalgi diatas bw anak2 loncat2 suara kursi ditarik. dinding sblh tembok sblh nya spt gipsum.kl hujan teras dpn kmr basah smua.bnr2 ga nyaman dgn gangguan suara.,Verified review from tiket.com
174,3,US,4 Jan 2022,Trip bareng Teman,"3,6",Tempat gym buka.. pool buka.. lokasi di tengah kota..,Verified review from tiket.com
174,4,AP,2 Jan 2022,Trip Keluarga,"3,6","Lokasinya okay, kebersihan kamar yang kurang karena lantainya seperti tidak dibersihkan (banyak kotoran dan rambut). Shower kamar mandi juga rusak.",Verified review from tiket.com
174,5,Wasito st,2 Jan 2022,Trip Keluarga,"5,0","sangat recommended bagi wisatawan yang berkunjung ke cirebon, kolam renangnya bersih, makanannya enak, roomnya bersih dan nyaman..bagi yang suka olahraga ada gym. pokoke..mantap!",Verified review from tiket.com
175,1,HS,1 Jan 2022,Trip Keluarga,"5,0","Terima kasih Santika Cirebon, selalu mnyenangkan bisa menginap di sini",Verified review from tiket.com
175,2,Hadi Santoso,1 Jan 2022,Trip Keluarga,"5,0","Happy menginap kembali disini, area kolam renangnya selalu mnyenangkan, pelayanannya juga tetap baik. Terima kasih Santika Cirebon.",Verified review from tiket.com
175,3,Donant Alananto Iskandar,1 Jan 2022,Trip Keluarga,"5,0",Prinsipnya memuaskan,Verified review from tiket.com
175,4,MA,30 Dec 2021,Trip Solo,"4,6","Hotel tua tapi tetep bagus, pertahankan ya Santika Cirebon",Verified review from tiket.com
175,5,Elis Elis,26 Dec 2021,Trip Keluarga,"4,0",overall smua bgus mknan sarapan lmyn bnyk n lmyn enak,Verified review from tiket.com
176,1,Latif Hidayat,26 Dec 2021,Trip Keluarga,"4,0","mantab cuma makanan kurang variatf wifi suka on off sendiri nyman. tenang, lokasi strategis di cirebon kkkk(kkkkkkkkkk",Verified review from tiket.com
176,2,Gerry Gerry,26 Dec 2021,Trip Keluarga,"5,0","makanannya enak, nyaman,",Verified review from tiket.com
176,3,DP,22 Dec 2021,Trip Keluarga,"5,0","nyaman sekali, cuma makanannya kurang",Verified review from tiket.com
176,4,LH,17 Dec 2021,Perjalanan Bisnis,"3,0","kamar hotel standar, dapat harga tinggi, kurang worth it jadinya",Verified review from tiket.com
176,5,Eko Dwiyanto,15 Dec 2021,Trip Keluarga,"5,0","mulai dari di konfirmasi kedatangan, di jemput di stasiun, bisa masuk sblm j am check in, pelayanan terbaik, proses check in cepat, mobil kami d cucikan setiap pagi",Verified review from tiket.com
177,1,IF,15 Dec 2021,Trip Keluarga,"3,0","Lumayan,okeeeeeeeeeee",Verified review from tiket.com
177,2,SH,12 Dec 2021,Trip Keluarga,"4,0","Bangunan hotel lama tapi sangat bersih. Lokasi strategis, kamar cukup besar, liburan bersama kelurga menyenangkan, anak2 happy karna kolam renang yg cukup besar. Breakfast enak, cukup ada pilihan, tapi variasi makanan kurang banyak dibandingkan hotel Santika kota lainnya. Overall nyaman menginap di SantikaLihat lebih sedikit",Verified review from tiket.com
177,3,SJ,8 Dec 2021,Lainnya,"5,0","BEST! breakfastnya beragam, pagi pagi mobil di cuciin pelayanan ramah.. super recommended",Verified review from tiket.com
177,4,RP,7 Dec 2021,Trip Pasangan,"3,8",Lokasi strategis dan mudah ditemukan. Fasilitas dan kebersihan oke.,Verified review from tiket.com
177,5,Armeyn Armeyn,6 Dec 2021,Trip Pasangan,"4,2",check in cepat hanya fç ktp aja kamar ok,Verified review from tiket.com
178,1,Verified traveler,1 Dec 2021,,"5,0",部屋の芳香剤？リネンの匂いが強くて眠れなかった。タオルに穴が空いていた。,Verified review from Expedia
178,2,IP,21 Nov 2021,Perjalanan Bisnis,"3,4","pilihan makanannya terbatas mgkn krena pandemi ya, tp gak masalah sih karena rasanya enak. bisa ditingkatkan lagi kebersihannya, khususnya unt toilet di lobby nya...selebihnya masih oke lah...",Verified review from tiket.com
178,3,Edi Sutomo,21 Nov 2021,Trip Keluarga,"5,0",Semua ok sayang banyak sekali serangga di depan kamar. Saran Seharusnya petugas rjin semprot semprot supaya bersih. Tapi overall ok banget. Trimakasaih tiket.com dan hotel santika. Terbaik,Verified review from tiket.com
178,4,EP,18 Nov 2021,Trip Keluarga,"5,0","kolam renangnya the best, abis hujan angin tp air nya gadingin",Verified review from tiket.com
178,5,Rhitma Megawati,15 Nov 2021,Trip bareng Teman,"3,8","book kamar superior tp ternyata full, langsung diupgrade kekamar eksekutif. terima kasih",Verified review from tiket.com
179,1,AS,9 Nov 2021,Perjalanan Bisnis,"5,0",good keren ramah staff2 nya,Verified review from tiket.com
179,2,MA,4 Nov 2021,Perjalanan Bisnis,"4,2","Bangunan lama tetapi masih terjaga dengan baik, nuansa Jawa nya kental dari lobby masuk, kamar luas dengan fasilitas yang baik, kebersihan pun sangat baik, hanya saja menu sarapan yang kurang variatif (Semoga management Santika Cirebon ada inovasi menu sarapan yaa), lokasi sangat strategis dekat dengan mini market dan beberapa mall di Cirebon.Lihat lebih sedikit",Verified review from tiket.com
179,3,antono antono,2 Nov 2021,Perjalanan Bisnis,"3,0",so far so good and need continuos improvement,Verified review from tiket.com
179,4,EH,29 Oct 2021,Trip Keluarga,"2,8",comfortable ..hotel nyaman lokasi strategis..utk breakfast menu nya sangat sederhana klo sekelas Santika..coba utl lebih variatif,Verified review from tiket.com
179,5,HARYONO JATMIKO,26 Oct 2021,Perjalanan Bisnis,"2,8","Kamar luas, bersih. Gelasnya pk gelas plastik n kertas..pool luas. Sarapan sederhana kurang variasi..",Verified review from tiket.com
180,1,AS,18 Oct 2021,Perjalanan Bisnis,"4,0",bagusssssss...........,Verified review from tiket.com
180,2,MA,7 Oct 2021,Trip Pasangan,"4,6","pegawainya ramah. kebersihan oke. kenyamanan mantap. yang kurang hanya sinyal susah, wifinya juga kadang dapet kadang tidak.",Verified review from tiket.com
180,3,CR,6 Oct 2021,Trip Keluarga,"5,0",overall ok...room quite big,Verified review from tiket.com
180,4,EP,3 Oct 2021,Trip Solo,"4,0","secara keseluruhan bagus, hotel lama tp msh well maintain, keluhan lgsg di respon dgn cepat, utk ukuran bintang 3 varian sarapan cukup hanya roti2 yg ga ada, puas dgn semuanya",Verified review from tiket.com
180,5,SM,28 Sep 2021,Trip Keluarga,"5,0","Hotel yang kental dengan nuansa Jawa, masih sangat terawat dan bersih, masuk lobby langsung adem nyesss.. Lokasi strategis ada di pusat kota, naik grab ke Nasi Jamblang Mang Dul cuma 4000 rupiah pulang pergi saking deketnya tapi ku malas jalan karena Cirebon panas kaya di Padang Mahsyar. Staff ramah, proses check in mudah dan cepat, jangan lupa siapin kartu vaksin atau aplikasi pedulilindungi. Sarapan kurang banyak variasinya tapi rasanya enak, udah bawa tupperware mau bungkus rolade tahu sama kari ayam, tapi malu soalnya ga bisa ambil sendiri 😛 Kamarnya luas bisa kalau mau nanggap reog, ada kulkas tapi sayang gak ada hairdryer. Kolam renang airnya hangat jadi bisa berenang sampai malam. Recommended, mau nginep sini lagi kalau dikasih voucher menginap gratis, yuk bisa yukLihat lebih sedikit",Verified review from tiket.com
181,1,FA,25 Sep 2021,Trip Keluarga,"5,0","Dikala pandemi yg bikin hotel sepi biasa nya hotel asal2an memberikan pelayanan nya TAPI TIDAK dengan hotel yg satu ini , Santika Hotel tetap berusaha memberikan pelayanan terbaik kolam renang yg tetap bersih dengan type air jernih cristal handuk kolam terbungkus plastik dgn rapi dan wangi kamar bersih handuk kamar mandi terbungkus plastik dgn rapi dan wangi breakfast yg dipesan saat sahur masih dilayani dgn menu yg cukup baik ,buah, susu, snack ,kue, nasi goreng ayam komplit ,cukuplah buat masa pertumbuhan😂 mungkin dalam lift yg sedikit perlu perhatian karena sedikit kotor dibagian lantai sdh tiga kali menginap di santika dan selalu mobil dicuci dgn hanya memgunakan canebo oleh orang yg seperti nya bukan dari pihak hotel , sebaiknya pihak hotel izin dl ke pemilik mobil karena bisa mengakibatkan baret2 diMobil apalagi jika Mobilnya mewah sekelas lexus Alpardh atau Mercy bisa berabe , selebihnya masih OKLihat lebih sedikit",Verified review from tiket.com
181,2,HT,5 Sep 2021,Trip Keluarga,"5,0","Pelayanan maksimal dengan layanan mobil dicucikan, Walaupun skrg variasi makanannya ga terlalu banyak jika dibandingkan sebelum pandemi, tp tetap puas",Verified review from tiket.com
181,3,DL,4 Sep 2021,Perjalanan Bisnis,"3,0",Cukup memuaskan dan sudah beberapa kali menginap disini,Verified review from tiket.com
181,4,Marah Sutan,1 Sep 2021,Trip Keluarga,"2,0",Petugas front office ga ramah,Verified review from tiket.com
181,5,rinaldy edisyahputra,30 Aug 2021,Trip Keluarga,"5,0","puas nginap disini, hotel yg terjaga kualitasnya.",Verified review from tiket.com
182,1,FS,23 Aug 2021,Perjalanan Bisnis,"5,0","ramah, bersih, nyaman",Verified review from tiket.com
182,2,FS,23 Aug 2021,Perjalanan Bisnis,"5,0","ramah, bersih, nyaman",Verified review from tiket.com
182,3,FS,23 Aug 2021,Perjalanan Bisnis,"5,0","ramah, bersih, nyaman",Verified review from tiket.com
182,4,FS,20 Aug 2021,Perjalanan Bisnis,"5,0","bikin betah....hening, bersih, nyaman",Verified review from tiket.com
182,5,FS,19 Aug 2021,Perjalanan Bisnis,"5,0","bagus, nyaman, bersih",Verified review from tiket.com
183,1,FS,17 Aug 2021,Perjalanan Bisnis,"5,0","bagus.....sedang repainting, jd makin bagus",Verified review from tiket.com
183,2,Ika Prihadiyan,17 Aug 2021,Perjalanan Bisnis,"5,0",hotel lg di renovasi,Verified review from tiket.com
183,3,FS,16 Aug 2021,Perjalanan Bisnis,"5,0","bagus, nyaman dan sangat tenang",Verified review from tiket.com
183,4,FS,16 Aug 2021,Perjalanan Bisnis,"5,0",hotel lama yang sangat menjaga kualitas,Verified review from tiket.com
183,5,Fahmi Sulistyohadi,16 Aug 2021,Perjalanan Bisnis,"5,0","hotel lama dg perawatan baik.....makanan enaaak, saran tingkatkan perawatannya, sdh ada bbrp perabotan yg terlihat kusam....",Verified review from tiket.com
184,1,Fahmi Sulistyohadi,6 Aug 2021,Perjalanan Bisnis,"4,8","serba hygenis....breakfast dlm pack, sayangnya gelas di room gelas plastik yg terkesan murahan mgkn krn supaya sekali pakai ya",Verified review from tiket.com
184,2,DP,28 Jul 2021,Trip Solo,"5,0",keren sekali saya sangat puas,Verified review from tiket.com
184,3,AG,14 Jul 2021,Lainnya,"4,0","pelayanan ramah, staycation disaat ppkm",Verified review from tiket.com
184,4,Ladipa Ami Pratama,8 Jul 2021,Perjalanan Bisnis,"5,0",Pelayanan sangat ramah,Verified review from tiket.com
184,5,AS,6 Jul 2021,Lainnya,"3,2",Bangunan lama tapi cukup bersih,Verified review from tiket.com
185,1,TP,5 Jul 2021,Trip Keluarga,"4,2",kamar yang luas dan lokasinya strategis. lobby nya juga bagus,Verified review from tiket.com
185,2,fery irawan,3 Jul 2021,Trip Pasangan,"5,0","Kamarnya bagus dan bersih, fasilitas lengkap, pool nya juga lumayan besar. Lain kali akan pilih lagi untuk menginap di sini",Verified review from tiket.com
185,3,Petrus Widiyono,29 Jun 2021,Trip Keluarga,"4,0","kamar bersih, kolam renang bersih. protokol kesehatan baik. terletak di jalan yang enak untuk jalan2 pagi",Verified review from tiket.com
185,5,Nicko Arywibowo,25 Jun 2021,Trip Keluarga,"5,0",mantap lah keren dan makanannya enak,Verified review from tiket.com
186,1,MS,24 Jun 2021,Trip Keluarga,"4,0",penginapan nya sangat bagus,Verified review from tiket.com
186,2,Dito Haryo Prasetyo,23 Jun 2021,Trip Keluarga,"3,8","tolong untuk kolam renangnya dibatasi jumlah pengunjungnya (ada peraturannya, tapi tidak ada petugas yang menegur saat overload), dan juga tolong dilarang jika ada yang renang dengan menggunakan baju (terlebih baju tidur), air kolam menjadi terkontaminasi kotoran dari baju, apalagi memakai pakaian dalam. cek juga lantai kayu sekitar kolam, saya lihat ada baut yang sudah terbuka, bahaya jika ada orang yg tidak menggunakan alas kaki, menginjak baut tsb.Lihat lebih sedikit",Verified review from tiket.com
186,3,robi ajilinta,16 Jun 2021,Perjalanan Bisnis,"3,0",bagus................,Verified review from tiket.com
186,4,DA,14 Jun 2021,Trip Keluarga,"4,0",bagus antik hotelnya,Verified review from tiket.com
186,5,Sukma Azzah Kharisma,7 Jun 2021,Lainnya,"4,2",Saya suka menginap disini,Verified review from tiket.com
187,1,Sulistia Simbolon,31 May 2021,Trip Keluarga,"3,6",Biasa aja tempatnya sih,Verified review from tiket.com
187,2,II,29 May 2021,Trip Solo,"4,8","Pelayanannya sangat baik, semua staff sangat ramah, makanan juga enak. Untuk kebersihan cukup baik",Verified review from tiket.com
187,3,Apriana Susaei,20 May 2021,Perjalanan Bisnis,"4,0",biasa bagus biasa bagus,Verified review from tiket.com
187,4,nuning,20 May 2021,Trip Keluarga,"4,4",good place for fams... enjoyy,Verified review from tiket.com
187,5,Aday Wakhid Nurhidayat,15 May 2021,Trip Keluarga,"4,0",good to stay on the middle trip back to Jakarta,Verified review from tiket.com
188,1,JS,14 May 2021,Perjalanan Bisnis,"4,2","selalu mengesankan apabila menginap disini, akan kembali lagi",Verified review from tiket.com
188,2,harijanto widjaya,11 May 2021,Perjalanan Bisnis,"4,0",kamar bersih dan besar kalau ke cirebon lagi pasti nginap di sini lagi,Verified review from tiket.com
188,3,harijanto widjaya,11 May 2021,Perjalanan Bisnis,"4,0","kamar bersih, tenang , lokasi strategis",Verified review from tiket.com
188,4,LW,8 May 2021,Perjalanan Bisnis,"2,0","bangunan lama, kamar dengan furniture lama, menang brand aja.",Verified review from tiket.com
188,5,JK,6 May 2021,Perjalanan Bisnis,"4,0",menginap satu malam untuk keperluan bisnis. overall ok,Verified review from tiket.com
189,1,Asep Awaludin,5 May 2021,Perjalanan Bisnis,"4,0","nyaman, Ramah dan strategis",Verified review from tiket.com
189,2,C,30 Apr 2021,Keperluan Medis,"4,0",lumayan oke dan lokasi strategis,Verified review from tiket.com
189,3,Dwi Rizka Putranto,21 Apr 2021,Perjalanan Bisnis,"4,0",wellllllllllllllllll,Verified review from tiket.com
189,4,KH,16 Apr 2021,Trip Pasangan,"4,4",Baik dan bangga pernah menginap di Santika Cirebon,Verified review from tiket.com
189,5,DG,6 Apr 2021,Perjalanan Bisnis,"3,8",hotel lama tp masih terawat. protokol kesehatan cukup baik. sayang sarapannya mengecewakan. tapi saat check out ada kejutan dimana mobil di parkiran dicucikan.,Verified review from tiket.com
190,1,Ribka Tri Wahyuning Karli,3 Apr 2021,Trip Keluarga,"4,6","utk harga segitu hotel bersih, mkn lumayan enak, walaupun hotel nya keliatan agak tua tapi menyenangkan.",Verified review from tiket.com
190,2,NR,28 Mar 2021,Trip Pasangan,"4,0",sejauh ini enak..nyaman..dan tenang hehe..,Verified review from tiket.com
190,3,Frans Octavianus Manoppo,26 Mar 2021,Perjalanan Bisnis,"3,0",Varian dan taste makanannya perlu ditingkatkan. Selebihnya ok menurut saya.,Verified review from tiket.com
190,4,Baharsyah Baharsyah,25 Mar 2021,Trip Keluarga,"4,6",hotel yg bagus utk liburann keluarga,Verified review from tiket.com
190,5,Baharsyah Baharsyah,25 Mar 2021,Trip Keluarga,"4,0",bagus untuk keluarga,Verified review from tiket.com
191,1,Rian Notokasno,23 Mar 2021,Trip bareng Teman,"4,4","Good stay, good breakfast and good service.",Verified review from tiket.com
191,2,Baharsyah Baharsyah,17 Mar 2021,Trip Keluarga,"4,6",Variasi makanan perlu ditingkatkan,Verified review from tiket.com
191,3,DJATMIKO LTD,16 Mar 2021,Perjalanan Bisnis,"3,0",Fasilitas dan kamar cukup memadai,Verified review from tiket.com
191,4,Kharis Dyan Ashary,14 Mar 2021,Lainnya,"4,0",bagus lingkunganny dan agak di miderenisasi,Verified review from tiket.com
191,5,Ignatia Arby,8 Mar 2021,Trip Pasangan,"4,6","Udah 2 3 kali nginep disini dan selalu nyaman memang. sih bangunannya bangunan, tua tapi, itulah yang menarik walaupun! bangunan tua tapi cukup terawat ya breakfastnya. cukup lengkap tapi, diambilin sekarang menurutku. bagus karena orang2 jd ambil secukupnya dan lebih higienis kolam. renang bisa dipake dan, ga terlalu rame sayang aja fitness centre blm bisa dipake oh. iya mobil, dicuciin setiap pagi gatau. sih ini service dari santika atau bukan tp i really appreciate the gesture jangan. lupa kasih uang tip untuk yang cuciin ya semua! petugasnya baik dan ramah kamar, juga cukuo bersih semoga. ke depannya lebih menyenangkan lagi nginep disini .Lihat lebih sedikit",Verified review from tiket.com
192,1,Adi Arghaposa,15 Feb 2021,Trip Keluarga,"5,0","hotel yang tetap terawat baik, kolam renang nya ok, staf ramah dan seperti biasa mobil dicuci bersih. makanan lumayan dan protokol kesehatan dijalankan dengan baik.",Verified review from tiket.com
192,2,Rangga Janu,14 Feb 2021,Trip bareng Teman,"5,0","dapat kamar free upgrade, pelayanan oke staff ramah. makanan kurang variasi",Verified review from tiket.com
192,3,Arief Ginanjar,10 Feb 2021,Perjalanan Bisnis,"3,0",kamar bersih dan sangat nyaman untuk istirahat,Verified review from tiket.com
192,4,Adit Paisal,31 Jan 2021,Trip Keluarga,"5,0","hotel yg Bagus, staff dan pelayanan yg ramah dan helpfull ... next perlengkapan nya mesti di perbaharui, biar ga terkesan tua banget ..",Verified review from tiket.com
192,5,Taufan Tanlalana Pramulia,29 Jan 2021,Perjalanan Bisnis,"3,0",Kualitas wifi perlu diperhatikan,Verified review from tiket.com
193,1,IS,27 Jan 2021,Perjalanan Bisnis,"4,0","Staff ramah, kamar bersih, menu makanan banyak pilihan.",Verified review from tiket.com
193,2,HT,2 Jan 2021,Trip Pasangan,"3,2",terus kembangkan makannya,Verified review from tiket.com
193,3,DI,26 Dec 2020,Trip Keluarga,"3,8","bangunan dan furniture hotel memang sudah agak lama, check in dan check out cepat, penerapan protokol kebersihan saat pandemi, diterapkan dengan baik",Verified review from tiket.com
193,4,Jamaluddin Jamaluddin,22 Dec 2020,Perjalanan Bisnis,"3,0","untuk hotel lama, oke juga lah. perlu ditingkatkan lagi",Verified review from tiket.com
193,5,Anissa Alifa,14 Dec 2020,Trip Pasangan,"5,0",stay untuk 2 malam disana .. memang nuansanya clasic sih .. model hotel lama .. tpi fasilitasnya bagus .. staff nya ramah .. menu breakfast nya juga enak ...,Verified review from tiket.com
194,1,HR,12 Nov 2020,Trip Keluarga,"3,8",nagusnuntuk ngisi waktu berenang dg anak2,Verified review from tiket.com
194,2,Davins Abia Pelawi,22 Aug 2020,Trip Keluarga,"4,0",Pelayanan hotel dan kamar sudah cukup baik.,Verified review from tiket.com
194,3,Mandarina Putri,19 Aug 2020,Trip Pasangan,"4,2","kamarnya luas, resepsionis dan staff nya ramah2, saya nginap 2 malam setiap pagi mau berangkat jalan2 mobil sudah bersih dicuciin. thankyou santika hotel cirebon",Verified review from tiket.com
194,4,RINTO FERDIAN,27 Jun 2020,Lainnya,"4,0",Wifi hotel tidak bagus.,Verified review from tiket.com
194,5,AD,22 Mar 2020,Trip Keluarga,"3,6",Kolam renang nya bagus. Sarapan nya enak dan variasi banyak. Lokasi strategis .,Verified review from tiket.com
195,1,Morten,26 Jan 2020,Trip Pasangan,"4,0",Nice place. Friendly staff.,Verified review from Expedia
195,2,NY,9 Dec 2019,Lainnya,"5,0",good pelayanan nya,Verified review from tiket.com
195,3,AV,20 Nov 2019,Trip Keluarga,"4,8",Sangat nyaman tempatnya khususnya ngajak keluarga menginap disana,Verified review from tiket.com
195,4,Sigit Aripriyono,13 Nov 2019,Perjalanan Bisnis,"5,0","Hotelnya nyaman, meskipun bangunannya udh agak lama, tp tetep menjaga fasilitas dan kebersihan kamar.",Verified review from tiket.com
195,5,Andreas Norbert Raabe,4 Nov 2019,Perjalanan Bisnis,"3,0",I did not check in or out because I had to cancel my trip. Ticket.com however did not let me cancel the hotel. I therefore paid for 2 rooms which I did not use. Consequently I will not do any bookings through ticket.com anymore as I am very disappointed. I cannot recommend ticket.com Lihat lebih sedikit,Verified review from tiket.com
196,1,Riko Wijayanto,28 Oct 2019,Trip Keluarga,"5,0","Kamar bersih, sarapan banyak jenis, kolam renang ada buat anak, cepat proses checkin nya",Verified review from tiket.com
196,3,DP,18 Sep 2019,Trip Keluarga,"4,4","Lokasi ditengah kota dekat, ruangan bersih, staff ramah namun karena lagi ada acara nikahan jadi kami terganggu karena berisik saat acara pernikahan dari jam 15 hingga jam 21 malam saat beberes bongkar panggung padahal kami bawa bayi. lalu makanannya terlalu sedikit variasinya dan rasanya juga standar sangat disayangkanLihat lebih sedikit",Verified review from tiket.com
196,4,SR,11 Sep 2019,Trip Keluarga,"4,6",Hotel nya sudah lama sekali...tp nyaman dan parkir luas,Verified review from tiket.com
196,5,Marina Riskita,1 Sep 2019,Trip Pasangan,"5,0","Saat check in sempat kecewa berat berat karna dikasih kamar twin bed, padahal pesennya double bed.. tapi semua terbayarkan saat keesokan harinya dikasih surprise kue anniversary... makasihh hotel santika Cirebon.. 😊😘Lihat lebih sedikit",Verified review from tiket.com
197,1,DR,22 Aug 2019,Perjalanan Bisnis,"4,0",mendapat upgrade dengan bebas biaaya namun mendapat kamar dengan kamar mandi dengan aroma kurang nyaman dari floordrain,Verified review from tiket.com
197,2,Riki Primayadi Herdianto,22 Aug 2019,Trip Pasangan,"4,4","Hotel cukup nyaman, kamar mandi bersih. Kolam renang cukup luas dan terawat. Makanan lengkap dan cukup enak. Plus mobil dicuci gratis.",Verified review from tiket.com
197,3,HJ,31 Jul 2019,Trip Keluarga,"3,8",tidak ada driver room,Verified review from tiket.com
197,4,SJ,12 Jul 2019,Trip Keluarga,"5,0",View yg kurang,Verified review from tiket.com
197,5,supriyono bonno,11 Jul 2019,Trip Keluarga,"5,0",Ruangannya ok banget,Verified review from tiket.com
198,1,Ade Mifthahul Jannah,7 Jul 2019,Trip Solo,"5,0","This was my compulsive getaway. Found one room left that was available here since I had no idea that Cirebon would be crowded during weekend. Got free upgrade to executive room (woohoo). Overall a nice stay. Room was clean, amenities were complete, adjustable room temperature, oh and great breakfast. I did not really explore the gym and pool since the bed was so comfy it's hard to get up. Will definetely stay here again on my next visit to Cirebon 👍Lihat lebih sedikit",Verified review from tiket.com
198,2,Daru Pambudiarso,30 Jun 2019,Perjalanan Bisnis,"3,6",Mungkin beberapa furniture kamar perlu di maintenance atau furnish ulang.,Verified review from tiket.com
198,3,M,28 Jun 2019,Trip Keluarga,"5,0","kolammya besar, airnya bersih. Sarapannya enak, menunya byk pilihan.",Verified review from tiket.com
198,4,AR,26 Jun 2019,Trip Keluarga,"4,0","Menginap di hotel ini karena ada acara, jadi pas banget. lokasi strategis, bersih, fasilitas lengkap, pelayanan sangat baik. Sedikit kekurangannya, sewaktu hari pertama, tamu banyak banget, restoran (sarapan) sepertinya tidak siap, banyak makanan yang habis dan tidak segera diisi kembali. Harga lumayan mahal, mungkin karena pas liburan.Lihat lebih sedikit",Verified review from tiket.com
198,5,ambarita ulvah muslim,25 Jun 2019,Trip Keluarga,"4,6","makanan enak, pelayanan ramah, kamar bersih, kolam renang ngak dingin hangat",Verified review from tiket.com
199,1,HN,19 Jun 2019,Trip Keluarga,"2,2","At the price being charged by the hotel, the hotel is not worthy.",Verified review from tiket.com
199,2,HG,19 Jun 2019,Trip Keluarga,"5,0",Pelayanan ramah mulai dari awal masuk sampai akhir. Kamar sesuai dengan harga tidak ada komplain. Variasi sarapan cukup lengkap dan dilayani dgn ramah. Terutama Nasi jamblangnya lauknya lengkap dan memuaskan. Thanks SantikaLihat lebih sedikit,Verified review from tiket.com
199,3,Febiolla Febiolla,18 Jun 2019,Trip Solo,"3,6","Yg paling kami suka kolam renang bagus bersih airnya hangat bikin betah, utk kamar dgn harga segtu furniturenya standart, lokasi bagus dpn hotel ada kuliner nasi jamblang, staff ramah bonus mobil dicuci mksh santika cirebon & tiket.comLihat lebih sedikit",Verified review from tiket.com
199,4,FS,11 Jun 2019,Trip Keluarga,"5,0","Hotel santika ini sudah ada sejak saya kecil, lift dan pintu kamarnya jadoel, tapi kamarnya sudah direnovasi. Hotelnya nyaman, kolam renangnya bersih, sarapanya enak",Verified review from tiket.com
199,5,ヒラバ,25 May 2019,Trip Solo,"4,0",ひと昔前の一流ホテル。やや古いが部屋も広くきれいです。インドネシアのサンティカチェーンなので安心のサービス。朝食も良い。残念なのがチルボン駅到着後の無料送迎のコンファームをもらっていたにもかかわらず迎えが来たいなかった。ホテルに電話をいれたらすぐに車がきたが、オペレーションがなんともおそまつ。,Verified review from Expedia
200,1,NT,15 May 2019,Trip Pasangan,"4,0",Tempatnya bagus dan nyaman.. Hanya internet saja yg kurang cepat dsana wifi nya..,Verified review from tiket.com
200,2,JL,21 Apr 2019,Trip Keluarga,"4,2","Lokasi strstegis, makan pagi ok, cuma air panas kurang dan shower kurang kencang...",Verified review from tiket.com
200,3,FL,31 Mar 2019,Trip Keluarga,"3,4",Ruangan agak tua,Verified review from tiket.com
200,4,Dwi Setyorini,30 Mar 2019,Trip Keluarga,"5,0",Yg disukai kalau sarapan banyak menu tradisional sesuai dg makanan khas daerah,Verified review from tiket.com
200,5,SU,19 Mar 2019,Lainnya,"4,8","Pagi2 mobil udah kinclong krn ada yg nyuciin, kolam renangnya juga bersih",Verified review from tiket.com
201,1,DJ,10 Mar 2019,Trip Keluarga,"5,0",Kenyamanan Dan keramahan,Verified review from tiket.com
201,2,Verified traveler,25 Feb 2019,,"4,0","Solotrip to Cirebon. Hotel is quite old and needs some renovate - but authentic Indonesian style, its like resort feeling. Staff are very friendly, F&B is ok - but not fantastic, Gym area not ok - major uplifting needs here, Pool area is also a bit distressing. Rooms are ok, but need renovation. Lobby area is comfortable and relaxing.Lihat lebih sedikit",Verified review from Expedia
201,3,Verified traveler,13 Feb 2019,,"4,0","Weekend stay in Cirebon. Hotel is a very authentic Indonesian style, like a resort type, which makes you feel very relaxed and comfort, the hotel though is quite old and needs some renovation, the water has some problems to go through the sink in the bathroom. FB is ok, but this hotel focus a lot on Indonesian local style breakfast, which maybe not all ( especially foreigners appreciate ) except - so they should have some more western style varieties of breakfast.Lihat lebih sedikit",Verified review from Expedia
201,4,VM,4 Jan 2019,Trip Keluarga,"5,0","Wifi lambat, resto banyak lalat.",Verified review from tiket.com
201,5,alvin kastin,1 Jan 2019,Trip Keluarga,"4,6","Nuansa alami resort di tengah kota mulai dirasakan sejak masuk lobby, pelayanan ramah, breakfast bervariasi dan enak, kasur mungkin sudah saatnya diupgrade",Verified review from tiket.com
202,1,Ervinia Adam,28 Dec 2018,Trip Keluarga,"5,0","old fashion hotel but very clean and the hospitality just like other santika group hotel, spacious room and good breakfast with some local food",Verified review from tiket.com
202,2,MOHAMMAD FAISAL,27 Dec 2018,Trip Keluarga,"4,2",Pelayanan cepat. Tidak perlu deposit. Sarapan pagi tambahannya 75 rb. sarapan lumayan saja. Ada kolam renang. Perlu dibersihkan lebih sering kolamnya,Verified review from tiket.com
202,3,ricky yulianto saputro,27 Dec 2018,Perjalanan Bisnis,"5,0","Over all ok cuma sayang kamar 212 airnya kecil sekali, sudah komplen ke FO masalah blm selesai sampai ke esokkan harinya. Anak saya senang kolam renangnya air hangat.",Verified review from tiket.com
202,4,Vera Mustika Wati,26 Dec 2018,Lainnya,"4,2",Hotel yang pas buat keluarga kolam renang nya enak bgt buat anak2.lokasinya pas tengah kota deket mall..recomended deh,Verified review from tiket.com
202,5,Z,17 Dec 2018,Trip Keluarga,"4,8","Hotel bagus, sarapan cukup beragam, kolam renang bersih dan pelayanannya saat check in dan check out oke, tetapi dapat kamar yang shower utamanya tidak nyala, hanya sehingga yg berfungsi shower kecil.",Verified review from tiket.com
